com.samsung.health.floors_climbed,6201005,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-10-18 00:40:48.000,,2021-10-18 01:18:42.126,2021-10-18 01:18:40.868,3.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-18 00:41:38.000,d2aad9b0-79e9-4d45-b97f-29390aa7c433,
2021-10-18 06:52:58.000,,2021-10-18 07:24:40.116,2021-10-18 07:24:40.060,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-18 06:53:18.000,22a68138-be96-4c38-976c-853f3faf70d7,
2021-10-19 06:52:25.000,,2021-10-19 07:01:57.895,2021-10-19 07:01:57.850,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-19 06:52:43.000,a51385ea-8251-4eb8-9206-1ff0cafeb81c,
2021-10-20 01:13:19.000,,2021-10-20 01:31:15.388,2021-10-20 01:31:14.644,3.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-20 01:14:17.000,7ccae22f-3f90-47ba-bc72-8d594b8191a6,
2021-10-20 22:16:53.000,,2021-10-20 22:21:22.457,2021-10-20 22:21:21.762,2.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-20 22:17:45.000,a51da135-255e-4ac0-b948-b39343840efb,
2021-10-21 02:08:14.000,,2021-10-21 02:20:32.222,2021-10-21 02:20:31.677,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-21 02:08:49.000,4b395bc8-7eee-409e-870b-691e4ddb3ba9,
2021-10-21 22:10:03.000,,2021-10-21 22:18:11.817,2021-10-21 22:18:11.817,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-21 22:10:31.000,b529c588-c9f9-41d9-8f2b-8b59f5d550bd,
2021-10-22 08:03:20.000,,2021-10-22 09:10:43.326,2021-10-22 09:10:41.843,2.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-22 08:04:08.000,ed456bf8-1341-49d4-8b72-b54ef10b7105,
2021-10-24 22:55:16.000,,2021-10-25 00:40:58.856,2021-10-25 00:40:58.597,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-24 22:55:36.000,eeb24b3f-665e-4dff-92b3-8ee7d292980f,
2021-10-26 04:30:09.000,,2021-10-26 04:37:17.559,2021-10-26 04:37:17.090,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-26 04:30:46.000,cb07c578-9889-4eb3-a1f4-bf025603cfc2,
2021-10-26 22:59:23.000,,2021-10-27 00:40:41.103,2021-10-27 00:40:40.747,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-26 22:59:41.000,19907674-bac4-4c1d-acd9-46ae3419d37f,
2021-10-28 00:47:54.000,,2021-10-28 00:55:05.657,2021-10-28 00:55:03.905,2.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-28 00:48:46.000,65d35a75-d16e-4bcf-b533-0961af6a58a7,
2021-10-29 01:18:25.000,,2021-10-29 01:21:21.529,2021-10-29 01:21:21.316,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-29 01:18:46.000,adaf073d-fa84-47a9-8a46-e9424b4df267,
2021-10-29 03:41:00.000,,2021-10-29 03:48:15.822,2021-10-29 03:48:15.777,2.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-29 03:41:52.000,3d475b45-d023-41fb-b691-9b554218d510,
2021-10-29 23:41:38.000,,2021-10-29 23:51:00.665,2021-10-29 23:51:00.665,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-29 23:42:06.000,481023f3-9bd1-402b-a1ae-a922a8080e63,
2021-10-30 01:08:36.000,,2021-10-30 01:13:49.551,2021-10-30 01:13:49.454,3.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-30 01:10:08.000,4469a61e-de8a-4995-8311-040c7637e054,
2021-10-31 08:03:12.000,,2021-10-31 08:44:30.283,2021-10-31 08:44:29.892,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-31 08:03:20.000,4dd41c34-bdc6-4205-b484-73b633531983,
2021-11-01 03:45:45.000,,2021-11-01 03:49:53.369,2021-11-01 03:49:52.293,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-01 03:46:06.000,00c92799-45be-4679-8d9a-20c771d259bf,
2021-11-01 22:20:21.000,,2021-11-01 22:32:58.614,2021-11-01 22:32:57.793,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-01 22:21:02.000,a428ea06-0137-48de-801f-1c7606ed4b6e,
2021-11-02 03:44:49.000,,2021-11-02 03:50:42.996,2021-11-02 03:50:42.996,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-02 03:45:17.000,9c3a1727-e864-4641-862b-d6c459e8b778,
2021-11-03 03:13:04.000,,2021-11-03 03:23:01.745,2021-11-03 03:23:01.745,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-03 03:13:33.000,9f82ebc1-9f00-450e-9a92-38734b2dac98,
2021-11-03 03:29:04.000,,2021-11-03 03:34:17.990,2021-11-03 03:34:17.716,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-03 03:29:34.000,1e8be68f-0a21-4c9f-bb0e-7ee89433d617,
2021-11-04 02:07:53.000,,2021-11-04 02:11:01.645,2021-11-04 02:11:01.441,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-04 02:08:13.000,e70f76be-de80-4652-ac44-14fdde9f0dea,
2021-11-04 03:35:43.000,,2021-11-04 03:37:46.494,2021-11-04 03:37:46.451,2.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-11-04 03:37:27.000,3cea21e3-acd1-4189-8985-f90dfaa66779,
