com.samsung.shealth.tracker.pedometer_step_count,6200039,2,,,,,,,,,,,,,,,
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
14772,4,0,21,57:00.0,,,15:00.2,15:00.2,21,1.6111112,23.8,1.43,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,58:00.0,7e618fd6-c262-4fec-ab8c-b55c7d396475
16573,4,0,32,15:00.0,,,35:40.2,35:40.2,32,1.4722222,24.4,1.21,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,16:00.0,5184a772-ddaa-48aa-b987-df1a4d939a27
57559,4,0,111,22:00.0,,,35:40.4,35:40.4,111,1.5,86.34,4.44,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,23:00.0,ebbe42e7-c28a-4b4c-b0d8-39ebced7b32c
8345,4,0,19,57:00.0,,,15:38.5,15:38.5,19,1.8333333,15.3,0.69,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,58:00.0,2762f463-ea9a-4b2e-bdbd-3551cae6be1e
4830,4,0,11,39:00.0,,,55:40.2,55:40.2,11,1.8611112,8.99,0.43,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,40:00.0,e8c6e49e-7501-4d3b-b71a-1cfbbbf21a83
17668,4,0,32,11:00.0,,,15:15.8,15:15.8,32,1.4166666,25.03,1.23,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,12:00.0,bd4e6650-8487-42f1-8dfc-a0aef9d1a53b
2197,4,5,1,35:00.0,,,55:39.2,55:39.2,6,2.6666667,5.86,0.42,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,36:00.0,fdfa9962-8904-485e-aaa9-2fcccfc4976b
59097,4,0,107,28:00.0,,,35:40.6,35:40.6,107,1.3888888,82.08,4.28,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,29:00.0,52fac3c9-6405-4e39-9b84-4f96f2f7ae72
28564,4,0,72,51:00.0,,,55:53.2,55:53.2,72,2.0833333,59.51,2.3,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,52:00.0,d7b4fc1e-d45d-4d34-bbf2-0ffb03a87768
60000,4,0,114,41:00.0,,,55:42.7,55:42.7,114,1.4598333,87.59,4.53,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,42:00.0,6e4306d9-f8f4-4a04-97de-61046fe5b6e1
58349,4,0,104,34:00.0,,,36:20.9,36:20.9,104,1.3611112,79.42,4.13,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,35:00.0,f33a259c-0390-42a0-9c85-eebe72a2e767
39888,4,1,69,23:00.0,,,30:44.3,30:44.3,70,1.3888888,55.4,2.97,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,24:00.0,b32a6496-289b-470d-b036-6591c07975c6
2080,4,0,4,17:00.0,,,35:43.0,35:43.0,4,1.4999999,3.12,0.16,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,18:00.0,c8778fbe-ef82-4b6e-8ffc-c517436da5b7
9604,4,0,17,12:00.0,,,15:18.8,15:18.8,17,1.3888888,13.34,0.64,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,13:00.0,58fe4eb1-c5d7-4ec0-b897-af00d2106be6
60000,4,0,100,40:00.0,,,55:43.6,55:43.6,100,1.2296666,73.78,4,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,41:00.0,18a15789-0487-49bf-a684-4cbdcfc95cf7
