com.samsung.health.sleep_stage,6200039,6,,,,,,,,
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
00:45.0,00000000-0000-0000-0000-00004571fbcf,,00:45.0,02:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,02:45.0,5d4e5d15-5851-ed8e-50d1-a0537613845f
16:45.0,00000000-0000-0000-0000-00004571fbcf,,16:45.0,36:45.0,40004,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,36:45.0,95ffbc3e-7b5a-4ccd-334e-f22e2edaed7d
26:51.0,00000000-0000-0000-0000-0000505f553a,,26:51.0,27:51.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,27:51.0,0b1f5e8f-e30a-12f6-0c96-fefc8bb8c146
59:45.0,00000000-0000-0000-0000-00004571fbcf,,59:45.0,00:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,00:45.0,32a4997b-c983-87f2-bb3e-6ebd9b3f36ac
38:09.0,00000000-0000-0000-0000-00002ac81757,,38:09.0,40:09.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,40:09.0,8017106f-686c-7785-f2c2-54be8e83e7f8
11:45.0,00000000-0000-0000-0000-00004571fbcf,,11:45.0,13:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,13:45.0,624cd7fd-5190-fb88-e483-e70a8a9e546e
04:45.0,00000000-0000-0000-0000-00004571fbcf,,04:45.0,10:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,10:45.0,b09adc06-be86-1102-429b-a116bcc3a321
59:03.0,00000000-0000-0000-0000-000003e753ed,,59:03.0,05:03.0,40003,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,05:03.0,439631d0-a15e-e6ea-4b81-ed3d61917a62
59:30.0,00000000-0000-0000-0000-000018f55f29,,59:30.0,00:30.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,00:30.0,12659440-3350-1a4d-4f51-738e1e0df4a0
34:51.0,00000000-0000-0000-0000-0000505f553a,,34:51.0,47:51.0,40004,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,47:51.0,eb3fe6a6-cf94-c5b3-ba7e-f69d51a17aba
10:45.0,00000000-0000-0000-0000-00004571fbcf,,10:45.0,13:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,13:45.0,b02f6176-275c-3003-f392-6848de43a9ef
49:51.0,00000000-0000-0000-0000-0000505f553a,,49:51.0,01:51.0,40004,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,01:51.0,18293383-b89e-f21b-a29e-466df888016f
37:45.0,00000000-0000-0000-0000-000020f41578,,37:45.0,10:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,10:45.0,4ab45ee2-7eb9-e7eb-a3d2-936f59557d03
17:09.0,00000000-0000-0000-0000-00002ac81757,,17:09.0,19:09.0,40003,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,19:09.0,59cc2e5a-841c-168f-0c9c-44ee81d3a596
47:45.0,00000000-0000-0000-0000-00004571fbcf,,47:45.0,53:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,53:45.0,5c32555a-6a53-7efa-6082-0e2247810ae1
05:03.0,00000000-0000-0000-0000-000003e753ed,,05:03.0,06:03.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,06:03.0,92e40162-3081-de3c-28c7-796c1e0557b8
11:30.0,00000000-0000-0000-0000-000018f55f29,,11:30.0,27:30.0,40004,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,27:30.0,3a8f3bab-9425-5af8-4714-8b6aba026652
25:25.0,00000000-0000-0000-0000-00006f0a68f3,,25:25.0,28:25.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,28:25.0,ad1e0c60-306f-926a-3d45-57e3487d976f
