com.samsung.shealth.tracker.pedometer_day_summary,6200039,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
13004,aaff834d-7f18-49eb-ba19-71a34f87d1c4.binning_data.json,8151811,6000,7,2015-12-13 15:00:03.748,com.sec.android.app.shealth,2015-12-13 15:00:03.748,,3.64828,9112.49,410.3,12997,wakAfCXJCw,com.sec.android.app.shealth,3591,aaff834d-7f18-49eb-ba19-71a34f87d1c4.achievement.json,aaff834d-7f18-49eb-ba19-71a34f87d1c4,1449964800000,
4306,3b5ce7de-8507-4723-b75c-2a6d49275940.binning_data.json,2442944,6000,7,2016-02-18 15:01:40.615,com.sec.android.app.shealth,2016-02-18 15:01:40.615,,3.166667,3296.99,176.24,4299,wakAfCXJCw,com.sec.android.app.shealth,2807,3b5ce7de-8507-4723-b75c-2a6d49275940.achievement.json,3b5ce7de-8507-4723-b75c-2a6d49275940,1455753600000,
428,6b7d1e3e-d528-4c44-83f7-5c026b520187.binning_data.json,182357,6000,17,2016-03-12 15:00:18.519,com.sec.android.app.shealth,2016-03-12 15:00:18.519,,4.124417,341.75003,15.069997,411,wakAfCXJCw,com.sec.android.app.shealth,0,6b7d1e3e-d528-4c44-83f7-5c026b520187.achievement.json,6b7d1e3e-d528-4c44-83f7-5c026b520187,1457740800000,
262,2ef088b7-fbf7-4d82-ba8e-d13750429123.binning_data.json,159971,6000,0,2016-01-23 15:00:55.106,com.sec.android.app.shealth,2016-01-23 15:00:55.106,,2.0000005,182.27,9.43,262,wakAfCXJCw,com.sec.android.app.shealth,0,2ef088b7-fbf7-4d82-ba8e-d13750429123.achievement.json,2ef088b7-fbf7-4d82-ba8e-d13750429123,1453507200000,
7029,713a0220-2df4-41a7-8211-9e55078fcb57.binning_data.json,4206677,6000,8,2016-02-20 15:01:12.963,com.sec.android.app.shealth,2016-02-20 03:00:03.275,,3.2777781,4976.61,221.89,7021,wakAfCXJCw,com.sec.android.app.shealth,0,713a0220-2df4-41a7-8211-9e55078fcb57.achievement.json,713a0220-2df4-41a7-8211-9e55078fcb57,1455926400000,
1796,307da338-85ce-45a9-925c-e902fd53f7a3.binning_data.json,818787,6000,9,2016-02-25 15:00:10.704,com.sec.android.app.shealth,2016-02-25 03:00:01.993,,2.7777774,1352.83,58.96,1787,wakAfCXJCw,com.sec.android.app.shealth,0,307da338-85ce-45a9-925c-e902fd53f7a3.achievement.json,307da338-85ce-45a9-925c-e902fd53f7a3,1456358400000,
5362,94acaa8b-2541-4550-8a7f-1f8f22c4494c.binning_data.json,2479879,6000,68,2016-02-24 15:00:11.163,com.sec.android.app.shealth,2016-02-24 03:00:11.185,,2.75,4010.17,185.22,5294,wakAfCXJCw,com.sec.android.app.shealth,1281,94acaa8b-2541-4550-8a7f-1f8f22c4494c.achievement.json,94acaa8b-2541-4550-8a7f-1f8f22c4494c,1456272000000,
906,a3beea62-151d-4e8c-885a-11ff2f32df1b.binning_data.json,483113,6000,3,2015-12-19 15:00:02.620,com.sec.android.app.shealth,2015-12-19 15:00:02.620,,2.701312,613.63,32.2,903,wakAfCXJCw,com.sec.android.app.shealth,0,a3beea62-151d-4e8c-885a-11ff2f32df1b.achievement.json,a3beea62-151d-4e8c-885a-11ff2f32df1b,1450483200000,
1459,c728a3da-2ca9-40f7-b15b-3032f87db68c.binning_data.json,868193,6000,6,2016-02-26 15:00:03.872,com.sec.android.app.shealth,2016-02-26 03:02:23.280,,4.361111,1027.05,47.3,1453,wakAfCXJCw,com.sec.android.app.shealth,0,c728a3da-2ca9-40f7-b15b-3032f87db68c.achievement.json,c728a3da-2ca9-40f7-b15b-3032f87db68c,1456444800000,
1343,cabec6d2-a824-4bb6-ad7a-6c591cc3cf28.binning_data.json,790145,6000,11,2016-02-01 15:00:17.631,com.sec.android.app.shealth,2016-02-01 11:38:16.180,,3.3611112,947.92,44.01,1332,wakAfCXJCw,com.sec.android.app.shealth,0,cabec6d2-a824-4bb6-ad7a-6c591cc3cf28.achievement.json,cabec6d2-a824-4bb6-ad7a-6c591cc3cf28,1454284800000,
