,update_time,start_date,start_time,source_type,count,speed,distance,calorie
145,2021-08-23 16:21:43.954,2021-08-22 ,15:30:46.860,25,7911,0.48455957,6047.303,280.8447
146,2021-08-25 03:35:37.389,2021-08-22 ,23:15:16.394,-2,6935,0.6925299,5172.573,257.5177

147,2021-08-23 16:21:42.317,2021-08-23 ,16:21:42.317,0,5871,1.1744987,4337.54,223.49998
148,2021-08-25 15:26:27.586,2021-08-23 ,16:21:43.922,25,4612,0.4137867,3500.6357,163.0075

149,2021-08-25 03:35:37.324,2021-08-24 ,04:30:22.805,-2,3029,0.4584423,2308.4521,107.35463
150,2021-08-24 16:39:13.192,2021-08-24 ,16:39:13.192,0,1599,1.3503828,1211.91,58.229996

151,2021-08-25 14:18:45.614,2021-08-25 ,01:01:12.691,-2,1371,0.49157164,1042.7561,49.71776
152,2021-08-25 15:26:25.345,2021-08-25 ,15:26:25.345,0,1083,1.2960589,817.93,39.47
153,2021-08-25 15:26:27.575,2021-08-25 ,15:26:27.575,25,842,0.3004024,648.86914,29.716797
154,2021-08-25 15:26:27.579,2021-08-25 ,15:26:27.579,25,2757,0.3907921,2110.2773,97.01227
155,2021-08-26 12:05:39.382,2021-08-25 ,23:14:13.666,-2,2326,0.41941997,1776.8026,84.1859

156,2021-08-26 15:20:56.705,2021-08-26 ,15:20:56.705,0,1473,1.2724353,1104.14,54.35
157,2021-08-26 15:21:01.179,2021-08-26 ,15:21:01.179,25,1782,0.291377,1381.127,62.998047

158,2021-08-27 12:44:24.751,2021-08-27 ,00:49:37.535,-2,3186,1.2956078,2424.7358,114.61558
159,2021-08-27 15:00:01.081,2021-08-27 ,15:00:01.081,0,3176,1.3797566,2416.65,114.27
160,2021-08-27 15:00:02.220,2021-08-27 ,15:00:02.220,25,10,0.06738281,8.0859375,0.34558105
161,2021-08-29 02:42:35.464,2021-08-27 ,22:51:23.487,-2,2077,0.8605475,1563.3591,76.1347

162,2021-08-28 15:00:01.243,2021-08-28 ,15:00:01.243,0,1953,1.252936,1460.01,72.399994
163,2021-08-29 16:27:28.580,2021-08-28 ,15:00:02.206,25,1202,0.41593993,923.3867,42.23706
164,2021-08-29 14:34:03.617,2021-08-28 ,15:57:36.396,-2,1150,0.4580823,872.60675,40.82893

165,2021-08-30 13:00:17.421,2021-08-29 ,15:41:02.596,-2,6761,0.7052702,5082.0435,250.53656
166,2021-08-29 16:27:24.736,2021-08-29 ,16:27:24.736,0,852,1.2980231,641.85004,30.519999
168,2021-08-29 16:27:28.588,2021-08-29 ,16:27:28.588,25,464,0.19159843,356.37305,16.319702

169,2021-08-30 15:00:01.728,2021-08-30 ,15:00:01.728,0,5873,1.2083222,4362.63,225.88998
170,2021-09-01 04:48:14.358,2021-08-30 ,23:42:41.509,-2,6214,0.7393335,4717.7646,232.43411

171,2021-08-31 15:00:01.430,2021-08-31 ,15:00:01.430,0,5120,1.2827562,3845.94,195.76997
172,2021-09-01 15:00:02.189,2021-08-31 ,15:00:02.454,25,4687,0.4841742,3602.2559,166.53552

173,2021-09-03 02:56:00.308,2021-09-01 ,02:51:24.069,-2,7372,0.5994691,5549.222,273.12277
174,2021-09-01 15:00:01.159,2021-09-01 ,15:00:01.159,0,5188,1.194627,3842.62,199.76
175,2021-09-03 15:03:43.194,2021-09-01 ,15:00:02.199,25,6043,0.44832188,4626.6816,212.52637

176,2021-09-03 02:56:00.171,2021-09-02 ,01:03:31.300,-2,1659,1.0844908,1247.8469,62.163345
177,2021-09-02 15:00:02.458,2021-09-02 ,15:00:02.458,0,1636,1.2670131,1229.8,61.36

178,2021-09-03 15:20:35.213,2021-09-03 ,02:52:54.225,-2,4590,0.5376216,3461.8481,171.18228
179,2021-09-03 15:03:41.399,2021-09-03 ,15:03:41.399,0,3635,1.2159835,2703.3801,137.9
180,2021-09-03 15:03:43.157,2021-09-03 ,15:03:43.157,25,23,0.100260414,18.046875,0.8033447
181,2021-09-04 15:10:43.749,2021-09-03 ,15:03:43.173,25,3362,0.37643287,2574.8008,119.96277
182,2021-09-04 11:57:03.746,2021-09-03 ,17:54:02.499,-2,6198,0.74101,4713.943,226.73164

183,2021-09-04 15:10:40.683,2021-09-04 ,15:10:40.683,0,5048,1.1422273,3709.5,197.26
184,2021-09-04 15:10:43.767,2021-09-04 ,15:10:43.767,25,5342,0.5723779,4121.121,187.79614
185,2021-09-05 13:32:56.996,2021-09-04 ,20:43:02.080,-2,3923,0.51925737,2953.483,144.7141

186,2021-09-05 15:00:01.055,2021-09-05 ,15:00:01.055,0,2685,1.2382737,2005.07,102.159996
