com.samsung.shealth.activity.day_summary,6196009,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
6319,4151754,90,0,2021-08-21 13:49:01.959,2021-08-20 15:00:01.335,-1,120000,75,4805.069,230.50787,1fb3d6e3-d68b-48b9-9db5-dcda4a9c90f3.extra_data.json,OvMFo+Qpk+,15200,com.sec.android.app.shealth,4136554,22560000,1fb3d6e3-d68b-48b9-9db5-dcda4a9c90f3,1629504000000,
2326,1576610,90,0,2021-08-26 12:05:39.483,2021-08-25 15:26:24.194,-1,60000,27,1776.8025,84.33448,83714e10-def2-418e-9c85-fb323d0a14a3.extra_data.json,OvMFo+Qpk+,29200,com.sec.android.app.shealth,1547410,29640000,83714e10-def2-418e-9c85-fb323d0a14a3,1629936000000,
1314,867894,90,0,2021-08-07 15:00:18.397,2021-08-06 15:00:01.209,-1,32683,15,1007.09344,48.413406,c5fe0225-0f60-4620-9321-9110338a18b9.extra_data.json,OvMFo+Qpk+,12800,com.sec.android.app.shealth,855094,17280000,c5fe0225-0f60-4620-9321-9110338a18b9,1628294400000,
3186,1961661,90,0,2021-08-27 13:54:24.502,2021-08-26 15:20:55.262,-1,360000,35,2424.5435,114.7191,baa71375-8283-4f67-a78e-53c0a2cf640f.extra_data.json,OvMFo+Qpk+,32000,com.sec.android.app.shealth,1929661,35340000,baa71375-8283-4f67-a78e-53c0a2cf640f,1630022400000,
3923,2502191,90,0,2021-09-05 13:32:57.116,2021-09-04 15:10:28.763,-1,360000,45,2953.4827,144.71413,95592b47-76c9-43ee-9d66-a08b9711cfa8.extra_data.json,OvMFo+Qpk+,6000,com.sec.android.app.shealth,2496191,18360000,95592b47-76c9-43ee-9d66-a08b9711cfa8,1630800000000,
4777,3387389,90,0,2021-07-30 19:12:49.640,2021-07-29 15:00:00.621,60,858000,62,3666.6582,170.37831,ef5c89f0-30a5-4cdb-8576-8a5c8d5f923f.extra_data.json,OvMFo+Qpk+,10000,com.sec.android.app.shealth,3377389,28560000,ef5c89f0-30a5-4cdb-8576-8a5c8d5f923f,1627603200000,
8431,5551590,90,0,2021-08-16 13:25:03.469,2021-08-15 15:00:00.633,-1,180000,102,6463.7393,304.70514,ee2adde3-729b-4627-92e3-7d03c712bf9e.extra_data.json,OvMFo+Qpk+,22400,com.sec.android.app.shealth,5529190,20880000,ee2adde3-729b-4627-92e3-7d03c712bf9e,1629072000000,
5959,3881624,90,0,2021-08-13 12:56:02.095,2021-08-12 15:00:00.367,-1,120000,71,4610.8647,209.10207,270d148e-6919-4c44-94bf-148eb61f9427.extra_data.json,OvMFo+Qpk+,5200,com.sec.android.app.shealth,3876424,13980000,270d148e-6919-4c44-94bf-148eb61f9427,1628812800000,
5277,3468583,90,0,2021-08-06 01:45:30.929,2021-08-04 15:39:00.655,-1,180000,63,3976.9297,191.8782,36f7a9aa-cd38-4e8a-a375-61b40197b769.extra_data.json,OvMFo+Qpk+,14400,com.sec.android.app.shealth,3454183,25980000,36f7a9aa-cd38-4e8a-a375-61b40197b769,1628121600000,
1659,1101053,90,0,2021-09-03 02:56:04.376,2021-09-01 15:00:00.532,-1,60000,20,1247.8467,62.163345,5b3cb29c-e57e-44c0-b474-98f42f6e06cb.extra_data.json,OvMFo+Qpk+,1200,com.sec.android.app.shealth,1099853,15960000,5b3cb29c-e57e-44c0-b474-98f42f6e06cb,1630540800000,
