com.samsung.shealth.food_favorite,6170019,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
1.0,3,2021-07-19 02:59:36.208,2021-07-19 02:59:36.208,바지락아욱국,120001,c7243f4f-2453-4d29-9580-e276ef848c5a,210.0,V57RQzDK0T,com.sec.android.app.shealth,219b0d96-fb34-4a26-941d-12aaec532a9e,0d61f868-489b-4d57-ba24-a8321ecd29f5,
1.0,3,2021-07-21 02:49:07.983,2021-07-21 02:49:07.983,물냉면,120001,f5b559a9-dd57-449a-8c9f-c033155fcaf0,245.0,V57RQzDK0T,com.sec.android.app.shealth,03832bc3-7174-4eaa-b417-8291d505240a,54f5d519-8e35-4ddb-aae7-b28088216a5e,
1.0,3,2021-07-21 02:46:53.829,2021-07-21 02:46:53.829,잡곡밥,120001,21dfb16d-4fee-427b-a88f-8be156cb75e8,300.0,V57RQzDK0T,com.sec.android.app.shealth,a025c3ac-c61a-4b71-a37a-9e2fc2003965,6751410e-9887-4850-8d72-300b12f8cedf,
0.0,2,2021-07-08 03:01:02.024,2021-07-08 03:01:02.024,856f14c2-dd02-445e-8a9f-af064806ea6a,,856f14c2-dd02-445e-8a9f-af064806ea6a,0.0,V57RQzDK0T,com.sec.android.app.shealth,0f022d76-0757-429d-8649-76d5dddd89c9,9a637255-f18a-4685-8ec4-34f7e22d2cb9,
1.0,3,2021-07-13 05:14:22.831,2021-07-13 05:14:22.831,미니갈릭야채볶음밥,120001,63c49f6b-e302-4c5b-b2c3-de185a813589,347.0,V57RQzDK0T,com.sec.android.app.shealth,5e601b9a-59bc-4753-8ee9-2ab26ff0f1f9,de2711b2-99eb-4003-ba77-6af83ff3e4ca,
1.0,3,2021-07-21 02:48:44.806,2021-07-21 02:48:44.806,훈제오리오븐구이,120001,c510dbdb-99e4-45d4-9738-820dc281b459,326.0,V57RQzDK0T,com.sec.android.app.shealth,403cea12-28a6-438c-810d-25d0d68487ca,4bfaabff-b6bc-46e6-a808-bb2d745ae5de,
1.0,3,2021-07-21 02:47:20.053,2021-07-21 02:47:20.053,고추,120001,7a0c8261-06b4-4d37-b66c-0d64101be32d,10.0,V57RQzDK0T,com.sec.android.app.shealth,465b2b35-b265-477c-9ea7-e7fecb2fa309,d2a853ae-e626-4377-96d9-b47bc3fa51be,
1.0,3,2021-07-22 03:20:59.250,2021-07-22 03:20:59.250,토종닭백숙,120001,2c98e55a-78dc-4ba6-8d82-0ff01985df05,350.0,V57RQzDK0T,com.sec.android.app.shealth,4931ee78-37c4-4858-b328-a134ded72a5c,7071524c-c98d-4b31-a618-1bbdaf44202c,
1.0,3,2021-07-21 02:50:43.181,2021-07-21 02:50:43.181,아삭이고추양파무침,120001,09fc2fcd-f7f2-4ece-8b56-d4ae4a90749c,47.0,V57RQzDK0T,com.sec.android.app.shealth,7988fc75-40c6-4c1a-9f8c-6e4797f78fb5,577736c0-f94f-445e-a73a-3bab6e13d189,
1.0,3,2021-07-14 05:37:05.702,2021-07-14 05:37:05.702,흑미밥,120001,d2ce29d3-f6e7-4839-b4ef-08156f762751,300.0,V57RQzDK0T,com.sec.android.app.shealth,97f72b22-7689-450c-a575-7c814dfa02f7,e07621b5-eed7-4f9e-850f-78108f7eef36,
1.0,3,2021-07-21 02:51:23.583,2021-07-21 02:51:23.583,우유빙수,120001,bd4f26f9-476a-4c9b-88bf-3794817565b3,98.0,V57RQzDK0T,com.sec.android.app.shealth,d7afe71a-ba85-47df-935a-26ca2dee039a,0b40d965-c46e-476f-b1dd-d65367888e11,
1.0,3,2021-07-22 03:23:11.013,2021-07-22 03:23:11.013,숙주미나리무침,120001,17eac402-b42e-4a25-9909-85fcb3c1f19c,47.0,V57RQzDK0T,com.sec.android.app.shealth,39fc97b7-d825-4ace-87a0-55ffffb46efd,b5728318-2aee-4681-ad26-2a3e79898fc5,
1.0,3,2021-09-29 02:13:33.931,2021-09-29 02:13:33.931,콩나물영양밥*양념장,120001,c43ffdb5-643d-4d88-840a-b6ab03615aa5,345.0,V57RQzDK0T,com.sec.android.app.shealth,ea2f271c-b985-476e-9c2c-d5fec6dae566,438844a2-0966-4a72-9f1a-21377766c86b,
1.0,3,2021-07-21 02:51:04.259,2021-07-21 02:51:04.259,우엉차,120001,12c26cb7-01aa-475e-ab92-8fd5278d928d,4.0,V57RQzDK0T,com.sec.android.app.shealth,e0676f46-5ae6-4419-9142-c328487b0f22,d0c1bdc3-5fc1-49b2-8036-550a9d16b0b5,
