com.samsung.shealth.step_daily_trend,1144003,6
speed,day_time,pkg_name,count,binning_data,source_pkg_name,source_type,calorie,deviceuuid,datauuid,distance,create_time,update_time
1.078282,1626307200000,com.sec.android.app.shealth,2211,2282e204-bbc2-420e-b7f8-4150e0cb3039.binning_data,com.sec.android.app.shealth,-2,64.615879,VfS0qUERdZ,2282e204-bbc2-420e-b7f8-4150e0cb3039,1433.427263,2021. 07. 31. 오후 4:05:21,2021. 07. 31. 오후 4:05:21,
0.538883,1626393600000,com.sec.android.app.shealth,16,7e35d544-4288-42b1-850e-31265b02885e.binning_data,com.sec.android.app.shealth,-2,0.000000,VfS0qUERdZ,7e35d544-4288-42b1-850e-31265b02885e,0.230979,2021. 07. 31. 오후 4:05:21,2021. 07. 31. 오후 4:05:21,
1.368868,1626480000000,com.sec.android.app.shealth,9,0a0d4a45-2b74-41d5-bd23-4a1402deba9f.binning_data,com.sec.android.app.shealth,-2,0.000000,VfS0qUERdZ,0a0d4a45-2b74-41d5-bd23-4a1402deba9f,0.041787,2021. 07. 31. 오후 4:05:21,2021. 07. 31. 오후 4:05:21,
0.910730,1626912000000,com.sec.android.app.shealth,25472,14101947-372f-423a-afe9-1ff59828dfdb.binning_data,com.sec.android.app.shealth,-2,859.709840,VfS0qUERdZ,14101947-372f-423a-afe9-1ff59828dfdb,16304.461518,2021. 07. 31. 오후 4:05:22,2021. 07. 31. 오후 4:05:22,
0.887089,1626998400000,com.sec.android.app.shealth,363,1d88d69c-19c1-48f3-b594-344f2cf309b4.binning_data,com.sec.android.app.shealth,-2,11.730089,VfS0qUERdZ,1d88d69c-19c1-48f3-b594-344f2cf309b4,221.535661,2021. 07. 31. 오후 4:05:22,2021. 07. 31. 오후 4:05:22,
1.010799,1627084800000,com.sec.android.app.shealth,16,e6072e02-9710-4511-b0f7-98c3ab4fc470.binning_data,com.sec.android.app.shealth,-2,0.518093,VfS0qUERdZ,e6072e02-9710-4511-b0f7-98c3ab4fc470,10.720000,2021. 07. 31. 오후 4:05:22,2021. 07. 31. 오후 4:05:22,
1.500000,1628812800000,com.sec.android.app.shealth,8,b4a48304-6ac4-4c3a-b5b1-a9cb88bbfdb8.binning_data,com.sec.android.app.shealth,0,0.285278,m5awt1XVZi,b4a48304-6ac4-4c3a-b5b1-a9cb88bbfdb8,6.320000,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1628812800000,com.sec.android.app.shealth,8,0ba0414c-1319-4fa4-9965-505512f7e3af.binning_data,com.sec.android.app.shealth,-2,0.285278,VfS0qUERdZ,0ba0414c-1319-4fa4-9965-505512f7e3af,6.320000,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1628985600000,com.sec.android.app.shealth,5433,6ea6edf2-156a-4cd7-ba9c-2934c9c58286.binning_data,com.sec.android.app.shealth,0,140.588227,m5awt1XVZi,6ea6edf2-156a-4cd7-ba9c-2934c9c58286,3114.570013,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1628985600000,com.sec.android.app.shealth,5433,c8ec9dbd-7f46-4774-8483-6781d9244e68.binning_data,com.sec.android.app.shealth,-2,140.588227,VfS0qUERdZ,c8ec9dbd-7f46-4774-8483-6781d9244e68,3114.570013,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1629072000000,com.sec.android.app.shealth,634,e17c1f9e-d09f-4221-8119-b455210d5cb4.binning_data,com.sec.android.app.shealth,0,20.758021,m5awt1XVZi,e17c1f9e-d09f-4221-8119-b455210d5cb4,459.869995,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1629072000000,com.sec.android.app.shealth,634,2a525068-a6ae-4797-b816-807418b26e74.binning_data,com.sec.android.app.shealth,-2,20.758021,VfS0qUERdZ,2a525068-a6ae-4797-b816-807418b26e74,459.869995,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1629158400000,com.sec.android.app.shealth,246,afe19e8b-386c-4b57-8f3c-6274f6bc1682.binning_data,com.sec.android.app.shealth,0,7.581077,m5awt1XVZi,afe19e8b-386c-4b57-8f3c-6274f6bc1682,167.950001,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1629158400000,com.sec.android.app.shealth,246,3d2c53f3-cd56-43fa-998f-d2394ec311c0.binning_data,com.sec.android.app.shealth,-2,7.581077,VfS0qUERdZ,3d2c53f3-cd56-43fa-998f-d2394ec311c0,167.950001,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1629244800000,com.sec.android.app.shealth,28257,f13e069a-d25d-4b5b-b9d1-79af3b605b6b.binning_data,com.sec.android.app.shealth,0,837.178330,m5awt1XVZi,f13e069a-d25d-4b5b-b9d1-79af3b605b6b,18546.720039,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1629244800000,com.sec.android.app.shealth,28257,d780856e-2853-4e73-95e2-7965779ee8b3.binning_data,com.sec.android.app.shealth,-2,837.178330,VfS0qUERdZ,d780856e-2853-4e73-95e2-7965779ee8b3,18546.720039,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1629331200000,com.sec.android.app.shealth,442,46c15bed-4ac1-4ddd-9b6f-c5f0208a0c7c.binning_data,com.sec.android.app.shealth,0,12.855104,m5awt1XVZi,46c15bed-4ac1-4ddd-9b6f-c5f0208a0c7c,284.789999,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1629331200000,com.sec.android.app.shealth,442,03ebfa67-d5af-4a9b-8569-61c58ba17250.binning_data,com.sec.android.app.shealth,-2,12.855104,VfS0qUERdZ,03ebfa67-d5af-4a9b-8569-61c58ba17250,284.789999,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1629417600000,com.sec.android.app.shealth,643,c8245463-46c7-41c5-a459-d4d9c474f83d.binning_data,com.sec.android.app.shealth,0,18.586390,m5awt1XVZi,c8245463-46c7-41c5-a459-d4d9c474f83d,411.760000,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1629417600000,com.sec.android.app.shealth,643,ff687b22-c54c-477a-a645-7b8266176848.binning_data,com.sec.android.app.shealth,-2,18.586390,VfS0qUERdZ,ff687b22-c54c-477a-a645-7b8266176848,411.760000,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1629504000000,com.sec.android.app.shealth,708,91d16cb2-2e96-4c0e-8933-bd9a6680a80a.binning_data,com.sec.android.app.shealth,0,21.405764,m5awt1XVZi,91d16cb2-2e96-4c0e-8933-bd9a6680a80a,474.220002,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1629504000000,com.sec.android.app.shealth,708,8bfa8178-6e99-4cc0-817d-6aa1ae18601f.binning_data,com.sec.android.app.shealth,-2,21.405764,VfS0qUERdZ,8bfa8178-6e99-4cc0-817d-6aa1ae18601f,474.220002,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1629590400000,com.sec.android.app.shealth,13138,87a3c64b-7e9d-4934-b77f-750834044931.binning_data,com.sec.android.app.shealth,0,407.677289,m5awt1XVZi,87a3c64b-7e9d-4934-b77f-750834044931,9031.620063,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1629590400000,com.sec.android.app.shealth,13138,fb268522-66d7-42fa-b9aa-8df3145b7765.binning_data,com.sec.android.app.shealth,-2,407.677289,VfS0qUERdZ,fb268522-66d7-42fa-b9aa-8df3145b7765,9031.620063,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1629676800000,com.sec.android.app.shealth,1470,7567bec0-245b-45ca-acfc-c482341725db.binning_data,com.sec.android.app.shealth,0,44.031632,m5awt1XVZi,7567bec0-245b-45ca-acfc-c482341725db,975.470009,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1629676800000,com.sec.android.app.shealth,1470,7684e2c6-95cb-4379-8d0c-647de66ad063.binning_data,com.sec.android.app.shealth,-2,44.031632,VfS0qUERdZ,7684e2c6-95cb-4379-8d0c-647de66ad063,975.470009,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1629763200000,com.sec.android.app.shealth,28,bd2f15ea-dd76-40d1-8288-428f9a03d0fd.binning_data,com.sec.android.app.shealth,0,0.738924,m5awt1XVZi,bd2f15ea-dd76-40d1-8288-428f9a03d0fd,16.370001,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1629763200000,com.sec.android.app.shealth,28,0f5672c3-c43d-4ab9-ad30-d8fc064e0f0a.binning_data,com.sec.android.app.shealth,-2,0.738924,VfS0qUERdZ,0f5672c3-c43d-4ab9-ad30-d8fc064e0f0a,16.370001,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1629849600000,com.sec.android.app.shealth,924,49aa4d9b-b39c-43a2-a1db-4fd7718073c5.binning_data,com.sec.android.app.shealth,0,26.864410,m5awt1XVZi,49aa4d9b-b39c-43a2-a1db-4fd7718073c5,595.150001,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1629849600000,com.sec.android.app.shealth,924,19bd3e8a-7a40-422c-9dab-d9fde08264df.binning_data,com.sec.android.app.shealth,-2,26.864410,VfS0qUERdZ,19bd3e8a-7a40-422c-9dab-d9fde08264df,595.150001,2021. 09. 04. 오전 10:28:11,2021. 09. 04. 오전 10:28:11,
1.500000,1629936000000,com.sec.android.app.shealth,3340,d2b03970-cd07-455f-a287-7ca0f4eca784.binning_data,com.sec.android.app.shealth,0,102.516738,m5awt1XVZi,d2b03970-cd07-455f-a287-7ca0f4eca784,2271.140011,2021. 09. 04. 오전 10:28:12,2021. 09. 04. 오전 10:28:12,
