com.samsung.health.step_count,1144003,6
speed,pkg_name,count,sample_position_type,time_offset,start_time,calorie,deviceuuid,custom,end_time,datauuid,distance,create_time,update_time
0.604596,com.sec.android.app.shealth,64,,32400000,2021. 07. 05. 오전 10:19:00,2.007601,m5awt1XVZi,,2021. 07. 05. 오전 10:20:00,16254479-0000-0000-0000-254479400000,31.793928,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.546517,com.sec.android.app.shealth,44,,32400000,2021. 07. 05. 오전 10:20:00,1.689126,m5awt1XVZi,,2021. 07. 05. 오전 10:21:00,16254480-0000-0000-0000-254480000000,25.278543,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.482590,com.sec.android.app.shealth,36,,32400000,2021. 07. 05. 오전 10:21:00,1.143203,m5awt1XVZi,,2021. 07. 05. 오전 10:22:00,16254480-0000-0000-0000-254480600000,16.377071,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.508242,com.sec.android.app.shealth,56,,32400000,2021. 07. 05. 오전 10:22:00,2.341428,m5awt1XVZi,,2021. 07. 05. 오전 10:23:00,16254481-0000-0000-0000-254481200000,33.706570,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.595906,com.sec.android.app.shealth,54,,32400000,2021. 07. 05. 오전 10:23:00,2.107890,m5awt1XVZi,,2021. 07. 05. 오전 10:24:00,16254481-0000-0000-0000-254481800000,32.873039,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.713127,com.sec.android.app.shealth,82,,32400000,2021. 07. 05. 오전 10:24:00,2.485963,m5awt1XVZi,,2021. 07. 05. 오전 10:25:00,16254482-0000-0000-0000-254482400000,42.081699,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.824081,com.sec.android.app.shealth,87,,32400000,2021. 07. 05. 오전 10:25:00,2.790198,m5awt1XVZi,,2021. 07. 05. 오전 10:26:00,16254483-0000-0000-0000-254483000000,50.496731,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
1.457384,com.sec.android.app.shealth,94,,32400000,2021. 07. 05. 오전 10:26:00,3.846752,m5awt1XVZi,,2021. 07. 05. 오전 10:27:00,16254483-0000-0000-0000-254483600000,85.156937,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.762173,com.sec.android.app.shealth,51,,32400000,2021. 07. 05. 오전 10:27:00,1.967803,m5awt1XVZi,,2021. 07. 05. 오전 10:28:00,16254484-0000-0000-0000-254484200000,34.594097,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.875481,com.sec.android.app.shealth,74,,32400000,2021. 07. 05. 오전 10:28:00,2.655043,m5awt1XVZi,,2021. 07. 05. 오전 10:29:00,16254484-0000-0000-0000-254484800000,49.364918,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
