com.samsung.shealth.tracker.pedometer_day_summary,1144003,5
day_time,speed,update_time,pkg_name,source_info,source_package_name,walk_step_count,binning_data,active_time,achievement,healthy_step,calorie,recommendation,datauuid,deviceuuid,distance,create_time,run_step_count,step_count
1627516800000,1.464792,2021. 07. 31. 오후 4:05:15,com.sec.android.app.shealth,,com.sec.android.app.shealth,1472,7e1fb120-f7fd-415a-8320-7d45dcee28e5.binning_data,1117000,7e1fb120-f7fd-415a-8320-7d45dcee28e5.achievement,0,52.965717,6000,7e1fb120-f7fd-415a-8320-7d45dcee28e5,m5awt1XVZi,988.297302,2021. 07. 31. 오후 4:05:15,0,1472,
1627603200000,1.712519,2021. 07. 31. 오후 4:05:15,com.sec.android.app.shealth,,com.sec.android.app.shealth,2718,f29023c0-db01-405d-bdf1-bc75a445fd13.binning_data,1698000,f29023c0-db01-405d-bdf1-bc75a445fd13.achievement,0,91.831070,6000,f29023c0-db01-405d-bdf1-bc75a445fd13,m5awt1XVZi,1864.140015,2021. 07. 31. 오후 4:05:15,0,2718,
1627689600000,1.367952,2021. 07. 31. 오후 4:05:15,com.sec.android.app.shealth,,com.sec.android.app.shealth,369,8226b315-b0d6-49a2-b313-7c3b94cf53f5.binning_data,289000,8226b315-b0d6-49a2-b313-7c3b94cf53f5.achievement,0,12.645315,6000,8226b315-b0d6-49a2-b313-7c3b94cf53f5,m5awt1XVZi,224.410004,2021. 07. 31. 오후 4:05:15,0,369,
1627344000000,0.702240,2021. 07. 31. 오후 4:05:15,com.sec.android.app.shealth,,com.sec.android.app.shealth,3354,0cb603d2-09ba-447b-9d05-d83c2aba1dfc.binning_data,2897483,0cb603d2-09ba-447b-9d05-d83c2aba1dfc.achievement,0,114.562469,6000,0cb603d2-09ba-447b-9d05-d83c2aba1dfc,VfS0qUERdZ,2034.728149,2021. 07. 31. 오후 4:05:15,0,3354,
1627430400000,1.040651,2021. 07. 31. 오후 4:05:15,com.sec.android.app.shealth,,com.sec.android.app.shealth,1628,4481a893-70bb-404d-8d2d-2f0f701a3452.binning_data,1029594,4481a893-70bb-404d-8d2d-2f0f701a3452.achievement,0,52.210094,6000,4481a893-70bb-404d-8d2d-2f0f701a3452,VfS0qUERdZ,1071.447876,2021. 07. 31. 오후 4:05:15,0,1628,
1627516800000,0.875197,2021. 07. 31. 오후 4:05:15,com.sec.android.app.shealth,,com.sec.android.app.shealth,1472,7d26183e-d098-43af-b30c-451668260e64.binning_data,1129228,7d26183e-d098-43af-b30c-451668260e64.achievement,0,52.965717,6000,7d26183e-d098-43af-b30c-451668260e64,VfS0qUERdZ,988.297302,2021. 07. 31. 오후 4:05:15,0,1472,
1627603200000,1.080059,2021. 07. 31. 오후 4:05:15,com.sec.android.app.shealth,,com.sec.android.app.shealth,2718,50a89103-8762-48d0-8f2e-3f5cddcf44c8.binning_data,1725961,50a89103-8762-48d0-8f2e-3f5cddcf44c8.achievement,0,91.831070,6000,50a89103-8762-48d0-8f2e-3f5cddcf44c8,VfS0qUERdZ,1864.140015,2021. 07. 31. 오후 4:05:15,0,2718,
1627689600000,0.900244,2021. 07. 31. 오후 4:05:21,com.sec.android.app.shealth,,com.sec.android.app.shealth,270,b0d8e959-2e43-43bf-817a-d26c48c61e73.binning_data,0,b0d8e959-2e43-43bf-817a-d26c48c61e73.achievement,0,9.441132,6000,b0d8e959-2e43-43bf-817a-d26c48c61e73,jj7jIQhOji,209.264648,2021. 07. 31. 오후 4:05:21,0,270,
1626307200000,1.078282,2021. 07. 31. 오후 4:05:21,com.sec.android.app.shealth,,com.sec.android.app.shealth,2211,8553609d-78ee-4706-8eea-7bb19b20aecf.binning_data,1329361,8553609d-78ee-4706-8eea-7bb19b20aecf.achievement,0,64.615875,6000,8553609d-78ee-4706-8eea-7bb19b20aecf,VfS0qUERdZ,1433.427246,2021. 07. 31. 오후 4:05:21,0,2211,
1626393600000,0.538883,2021. 07. 31. 오후 4:05:21,com.sec.android.app.shealth,,com.sec.android.app.shealth,16,2eaf9fe9-b3fe-4922-a7fc-926d029ed0a5.binning_data,428,2eaf9fe9-b3fe-4922-a7fc-926d029ed0a5.achievement,0,0.000000,6000,2eaf9fe9-b3fe-4922-a7fc-926d029ed0a5,VfS0qUERdZ,0.230979,2021. 07. 31. 오후 4:05:21,0,16,
1626480000000,1.368868,2021. 07. 31. 오후 4:05:21,com.sec.android.app.shealth,,com.sec.android.app.shealth,9,9176a1a7-818d-4720-8b89-e96442d3f8da.binning_data,30,9176a1a7-818d-4720-8b89-e96442d3f8da.achievement,0,0.000000,6000,9176a1a7-818d-4720-8b89-e96442d3f8da,VfS0qUERdZ,0.041787,2021. 07. 31. 오후 4:05:21,0,9,
1626912000000,0.910730,2021. 07. 31. 오후 4:05:22,com.sec.android.app.shealth,,com.sec.android.app.shealth,25472,7f97eb03-1011-4138-8fb0-20c1f5aeccff.binning_data,17902636,7f97eb03-1011-4138-8fb0-20c1f5aeccff.achievement,0,859.709839,6000,7f97eb03-1011-4138-8fb0-20c1f5aeccff,VfS0qUERdZ,16304.461914,2021. 07. 31. 오후 4:05:22,0,25472,
1626998400000,0.887089,2021. 07. 31. 오후 4:05:22,com.sec.android.app.shealth,,com.sec.android.app.shealth,363,c6bcd7e7-8824-4c13-a372-fd3c143b607c.binning_data,249733,c6bcd7e7-8824-4c13-a372-fd3c143b607c.achievement,0,11.730089,6000,c6bcd7e7-8824-4c13-a372-fd3c143b607c,VfS0qUERdZ,221.535660,2021. 07. 31. 오후 4:05:22,0,363,
1627084800000,1.010799,2021. 07. 31. 오후 4:05:22,com.sec.android.app.shealth,,com.sec.android.app.shealth,16,8df1551a-9bc6-4eae-b9d6-fad3f214cd6f.binning_data,10605,8df1551a-9bc6-4eae-b9d6-fad3f214cd6f.achievement,0,0.518093,6000,8df1551a-9bc6-4eae-b9d6-fad3f214cd6f,VfS0qUERdZ,10.720000,2021. 07. 31. 오후 4:05:22,0,16,
1628812800000,1.500000,2021. 09. 04. 오전 10:28:11,com.sec.android.app.shealth,,com.sec.android.app.shealth,8,227b0ad3-600d-4bef-8f77-a698138c7a03.binning_data,3000,227b0ad3-600d-4bef-8f77-a698138c7a03.achievement,0,0.285278,6000,227b0ad3-600d-4bef-8f77-a698138c7a03,m5awt1XVZi,6.320000,2021. 09. 04. 오전 10:28:11,0,8,
1628812800000,1.500000,2021. 09. 04. 오전 10:28:11,com.sec.android.app.shealth,,com.sec.android.app.shealth,8,b7a288ea-b80a-4fd0-9340-a305e6d7def9.binning_data,4213,b7a288ea-b80a-4fd0-9340-a305e6d7def9.achievement,0,0.285278,6000,b7a288ea-b80a-4fd0-9340-a305e6d7def9,VfS0qUERdZ,6.320000,2021. 09. 04. 오전 10:28:11,0,8,
1628985600000,1.500000,2021. 09. 04. 오전 10:28:11,com.sec.android.app.shealth,,com.sec.android.app.shealth,5433,b0da0e31-7dd8-4280-93a5-e8a28045b908.binning_data,7222000,b0da0e31-7dd8-4280-93a5-e8a28045b908.achievement,0,140.588226,6000,b0da0e31-7dd8-4280-93a5-e8a28045b908,m5awt1XVZi,3114.570068,2021. 09. 04. 오전 10:28:11,0,5433,
1628985600000,1.500000,2021. 09. 04. 오전 10:28:11,com.sec.android.app.shealth,,com.sec.android.app.shealth,5433,daf6f6a9-7d46-4a3a-9824-279266e6429d.binning_data,2076379,daf6f6a9-7d46-4a3a-9824-279266e6429d.achievement,0,140.588226,6000,daf6f6a9-7d46-4a3a-9824-279266e6429d,VfS0qUERdZ,3114.570068,2021. 09. 04. 오전 10:28:11,0,5433,
1629072000000,1.500000,2021. 09. 04. 오전 10:28:11,com.sec.android.app.shealth,,com.sec.android.app.shealth,634,3029f088-f85b-44c0-87ed-7dc8c54438fa.binning_data,724000,3029f088-f85b-44c0-87ed-7dc8c54438fa.achievement,0,20.758020,6000,3029f088-f85b-44c0-87ed-7dc8c54438fa,m5awt1XVZi,459.869995,2021. 09. 04. 오전 10:28:11,0,634,
1629072000000,1.500000,2021. 09. 04. 오전 10:28:11,com.sec.android.app.shealth,,com.sec.android.app.shealth,634,88954afb-602e-45d1-a6cb-831c4f2b53ed.binning_data,306579,88954afb-602e-45d1-a6cb-831c4f2b53ed.achievement,0,20.758020,6000,88954afb-602e-45d1-a6cb-831c4f2b53ed,VfS0qUERdZ,459.869995,2021. 09. 04. 오전 10:28:11,0,634,
