,duration,walk_step,start_date,start_time,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.end_time
174,,11,2021-10-27 ,08:21:00.000,0.14870402,8.922241,0.37947083,2021-10-27 08:21:59.000
175,,11,2021-10-27 ,08:24:00.000,0.14317016,8.59021,0.38331604,2021-10-27 08:24:59.000
176,,9,2021-10-27 ,08:26:00.000,0.113846846,6.8308105,0.31788635,2021-10-27 08:26:59.000
177,,19,2021-10-27 ,08:27:00.000,0.24904582,14.942749,0.6605835,2021-10-27 08:27:59.000
178,,6,2021-10-27 ,08:28:00.000,0.078615315,4.716919,0.20918274,2021-10-27 08:28:59.000
179,13095.0,20,2021-10-27 ,08:28:00.000,1.1111112,14.55,0.75,2021-10-27 08:29:00.000
180,9306.0,16,2021-10-27 ,08:29:00.000,1.3055556,12.15,0.61,2021-10-27 08:30:00.000
181,,15,2021-10-27 ,08:29:00.000,0.18528442,11.117065,0.535202,2021-10-27 08:29:59.000
182,13900.0,23,2021-10-27 ,08:30:00.000,1.2222222,16.99,0.86,2021-10-27 08:31:00.000
183,,13,2021-10-27 ,08:30:00.000,0.17366943,10.420166,0.45324707,2021-10-27 08:30:59.000
184,4712.0,8,2021-10-27 ,08:31:00.000,1.25,5.89,0.29,2021-10-27 08:32:00.000
185,9646.0,16,2021-10-27 ,08:32:00.000,1.2222222,11.79,0.58,2021-10-27 08:33:00.000
186,,25,2021-10-27 ,08:32:00.000,0.3268799,19.612793,0.86654663,2021-10-27 08:32:59.000
187,5400.0,7,2021-10-27 ,08:34:00.000,0.9166667,4.95,0.26,2021-10-27 08:35:00.000
188,,24,2021-10-27 ,08:38:00.000,0.311674,18.70044,0.8383789,2021-10-27 08:38:59.000
189,10386.0,18,2021-10-27 ,08:38:00.000,1.3055556,13.56,0.65,2021-10-27 08:39:00.000
190,,13,2021-10-27 ,08:39:00.000,0.1685262,10.111572,0.45341492,2021-10-27 08:39:59.000
191,12051.0,19,2021-10-27 ,08:39:00.000,1.1666666,14.06,0.69,2021-10-27 08:40:00.000
192,,6,2021-10-27 ,08:40:00.000,0.07196045,4.317627,0.21967316,2021-10-27 08:40:59.000
193,,21,2021-10-27 ,08:43:00.000,0.2634481,15.806885,0.74183655,2021-10-27 08:43:59.000
194,,12,2021-10-27 ,08:44:00.000,0.15079346,9.047607,0.4245224,2021-10-27 08:44:59.000
195,,8,2021-10-27 ,08:45:00.000,0.10761515,6.456909,0.27757263,2021-10-27 08:45:59.000
196,,13,2021-10-27 ,08:47:00.000,0.16962688,10.177612,0.45333862,2021-10-27 08:47:59.000
197,,13,2021-10-27 ,08:49:00.000,0.17045899,10.227539,0.45370483,2021-10-27 08:49:59.000
198,,11,2021-10-27 ,08:50:00.000,0.13729858,8.237915,0.3911972,2021-10-27 08:50:59.000
199,,15,2021-10-27 ,08:54:00.000,0.19147746,11.488647,0.52646637,2021-10-27 08:54:59.000
200,,11,2021-10-27 ,08:55:00.000,0.14162597,8.497559,0.38791656,2021-10-27 08:55:59.000
201,,14,2021-10-27 ,09:00:00.000,0.18182169,10.909302,0.4875641,2021-10-27 09:00:59.000
202,,10,2021-10-27 ,09:04:00.000,0.12736613,7.641968,0.35341644,2021-10-27 09:04:59.000
203,,9,2021-10-27 ,09:06:00.000,0.11488037,6.8928223,0.31762695,2021-10-27 09:06:59.000
204,8746.0,19,2021-10-27 ,09:07:00.000,1.7195495,15.04,0.6099999,2021-10-27 09:08:00.000
205,,28,2021-10-27 ,09:08:00.000,0.3584086,21.504517,0.9803009,2021-10-27 09:08:59.000
206,,6,2021-10-27 ,09:10:00.000,0.074804686,4.4882812,0.21380615,2021-10-27 09:10:59.000
