duration,version_code,run_step,walk_step,start_date,start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
60000,4,0,107,2021-10-27 ,00:19:00.000,,,2021-10-27 00:20:35.071,2021-10-27 00:20:35.071,107,1.3041667,78.25,4.21,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-27 00:20:00.000,4cc37d1e-9a08-4177-a460-7bd76aef3cd0
,,0,91,2021-10-27 ,00:20:00.000,,,2021-10-27 00:21:00.000,2021-10-27 00:20:59.000,91,1.1346436,68.07861,3.2310557,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:20:59.000,a5457b19-1e05-cd8f-1c7c-27badf43bda6
55809,4,0,87,2021-10-27 ,00:20:00.000,,,2021-10-27 00:20:59.032,2021-10-27 00:20:35.112,87,1.1460502,63.96,3.4799988,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-27 00:21:00.000,b605b97c-6a69-402e-b44a-85cd885667af
59320,4,0,89,2021-10-27 ,00:21:00.000,,,2021-10-27 00:21:59.535,2021-10-27 00:21:01.027,89,1.0906909,64.69997,3.5599978,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-27 00:22:00.000,fab0c676-83fc-429b-9039-2bfa6698388a
,,0,67,2021-10-27 ,00:21:00.000,,,2021-10-27 00:22:00.000,2021-10-27 00:21:59.000,67,0.8169027,49.01416,2.4063997,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:21:59.000,fae6a754-3120-31ac-f162-ec66aa69064c
60000,4,0,91,2021-10-27 ,00:22:00.000,,,2021-10-27 00:22:59.493,2021-10-27 00:22:00.216,91,1.1066663,66.39998,3.6399977,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-27 00:23:00.000,ab4a05d9-1a23-4e9b-a838-50f7cf466117
,,0,86,2021-10-27 ,00:22:00.000,,,2021-10-27 00:23:00.000,2021-10-27 00:22:59.000,86,1.0671651,64.02991,3.0716877,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:22:59.000,7f5b734e-4825-1619-0b68-5c152bbaa779
,,0,93,2021-10-27 ,00:23:00.000,,,2021-10-27 00:24:00.000,2021-10-27 00:23:59.000,93,1.1477829,68.866974,3.3095217,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:23:59.000,4b829839-39d0-d327-d5ea-376675fa5272
57816,4,0,95,2021-10-27 ,00:23:00.000,,,2021-10-27 00:23:59.655,2021-10-27 00:23:00.197,95,1.2162533,70.32002,3.7299976,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-27 00:24:00.000,6b4ed345-15c2-4042-acb4-165f1099c740
,,0,97,2021-10-27 ,00:24:00.000,,,2021-10-27 00:25:00.000,2021-10-27 00:24:59.000,97,1.2018529,72.111176,3.4542713,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:24:59.000,4c8d8e70-f8c8-ab30-bd96-2634e125b5a2
60000,4,0,94,2021-10-27 ,00:24:00.000,,,2021-10-27 00:24:59.811,2021-10-27 00:24:00.300,94,1.1448332,68.68999,3.7599976,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-27 00:25:00.000,afedf669-ea87-4fcd-8417-a5823ba2d304
58940,4,0,98,2021-10-27 ,00:25:00.000,,,2021-10-27 00:26:13.981,2021-10-27 00:25:00.464,98,1.2395513,73.06,3.8600001,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-27 00:26:00.000,cc4ce204-20ca-42c9-bf31-ca7d49f33427
,,0,95,2021-10-27 ,00:25:00.000,,,2021-10-27 00:26:00.000,2021-10-27 00:25:59.000,95,1.1799285,70.795715,3.3673458,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:25:59.000,172a34dc-d819-13fe-35ab-29d480c9522f
57154,4,0,94,2021-10-27 ,00:26:00.000,,,2021-10-27 00:28:18.287,2021-10-27 00:26:14.033,94,1.219319,69.689995,3.7399998,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-27 00:27:00.000,64e9b680-2eaf-4b77-af44-2ee7b74fda98
,,0,93,2021-10-27 ,00:26:00.000,,,2021-10-27 00:27:00.000,2021-10-27 00:26:59.000,93,1.1528686,69.17212,3.303379,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:26:59.000,66f585d7-cca6-4be1-1ced-d8d2f19a5c72
,,0,98,2021-10-27 ,00:27:00.000,,,2021-10-27 00:28:00.000,2021-10-27 00:27:59.000,98,1.2205821,73.234924,3.469017,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:27:59.000,4430f384-66cd-b0ec-508c-510e90bc3cf2
59903,4,0,100,2021-10-27 ,00:27:00.000,,,2021-10-27 00:28:18.326,2021-10-27 00:28:18.326,100,1.25,74.88,3.97,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-27 00:28:00.000,3e8e0c7b-ff70-4e62-890a-b12b18a914a5
,,0,30,2021-10-27 ,00:28:00.000,,,2021-10-27 00:29:00.000,2021-10-27 00:28:59.000,30,0.37354532,22.41272,1.0619545,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:28:59.000,ad32eacb-478c-a8cf-3ee9-40829cf5a305
18528,4,0,31,2021-10-27 ,00:28:00.000,,,2021-10-27 00:28:19.442,2021-10-27 00:28:18.384,31,1.25,23.16,1.2399999,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-27 00:29:00.000,2e22dd4b-35fd-40bf-aa57-b6f86e9f0156
,,0,10,2021-10-27 ,00:29:00.000,,,2021-10-27 00:32:55.000,2021-10-27 00:29:59.000,10,0.13183899,7.9103394,0.3489952,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:29:59.000,41f5757b-fb1a-d94f-e793-72757fae185e
,,0,10,2021-10-27 ,00:46:00.000,,,2021-10-27 00:47:00.000,2021-10-27 00:46:59.000,10,0.13427022,8.056213,0.34273148,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:46:59.000,f10f8f7d-9f80-c92e-f64a-bfca7bb2c7cc
,,0,8,2021-10-27 ,00:47:00.000,,,2021-10-27 00:48:00.000,2021-10-27 00:47:59.000,8,0.10086873,6.052124,0.2852478,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:47:59.000,23963b40-2ccb-70bc-276d-c3f683c80a3c
,,0,11,2021-10-27 ,00:50:00.000,,,2021-10-27 00:51:00.000,2021-10-27 00:50:59.000,11,0.14292195,8.575317,0.38653946,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:50:59.000,164850f5-b41a-a997-6f0b-7fdc7ae8e176
,,0,16,2021-10-27 ,00:54:00.000,,,2021-10-27 00:55:00.000,2021-10-27 00:54:59.000,16,0.1956665,11.73999,0.5743828,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:54:59.000,3b632663-9658-cd31-330a-185129bb113d
,,0,11,2021-10-27 ,00:58:00.000,,,2021-10-27 00:59:00.000,2021-10-27 00:58:59.000,11,0.13752747,8.251648,0.39013672,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 00:58:59.000,be823a38-d9c4-1f83-5f47-456a1f2f0b51
,,0,10,2021-10-27 ,01:01:00.000,,,2021-10-27 01:02:00.000,2021-10-27 01:01:59.000,10,0.12615459,7.569275,0.35190964,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 01:01:59.000,a7e1f4fb-5e18-b8ff-2c44-fd590ebcd29f
,,0,2,2021-10-27 ,01:02:00.000,,,2021-10-27 01:03:00.000,2021-10-27 01:02:59.000,2,0.025419109,1.5251465,0.07010651,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 01:02:59.000,2c619867-9d70-4b1c-356a-5c0c261ee536
,,0,7,2021-10-27 ,01:06:00.000,,,2021-10-27 01:07:00.000,2021-10-27 01:06:59.000,7,0.09382324,5.6293945,0.24269867,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 01:06:59.000,0de030d8-2213-52ba-ad22-c3ac2f2bc12b
,,0,7,2021-10-27 ,01:15:00.000,,,2021-10-27 01:16:26.000,2021-10-27 01:15:59.000,7,0.091499835,5.48999,0.24406052,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 01:15:59.000,0c1f54af-c5f0-1e9a-0f75-caa3b20e3c46
,,0,22,2021-10-27 ,01:31:00.000,,,2021-10-27 01:32:20.000,2021-10-27 01:31:59.000,22,0.2975993,17.855957,0.8008995,UTC+0900,Oy6B6yQLXI,com.sec.android.app.shealth,2021-10-27 01:31:59.000,f36c2a68-f3f3-e073-610a-904b9c9f9739
