com.samsung.shealth.tracker.pedometer_step_count,6196009,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
20686,4,0,31,2021-10-24 02:36:00.000,,,2021-10-24 02:45:52.765,2021-10-24 02:45:52.765,31,1.0833334,22.41,1.28,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 02:37:00.000,d427ad0f-03c3-479f-988b-bc0eba30fec3,
13134,4,0,17,2021-10-24 02:55:00.000,,,2021-10-24 03:00:26.707,2021-10-24 03:00:26.707,17,0.9166667,12.04,0.72,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 02:56:00.000,b95ac852-c5a0-453f-9c3b-b667d877f7d7,
21759,4,0,35,2021-10-24 02:26:00.000,,,2021-10-24 02:28:01.036,2021-10-24 02:28:01.036,35,1.1944444,25.99,1.42,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 02:27:00.000,e63adf45-2aa1-4c97-8e98-5afa72c3bf82,
50218,4,0,54,2021-10-24 03:03:00.000,,,2021-10-24 03:15:05.596,2021-10-24 03:03:00.400,91,1.0681274,53.63999,3.6399994,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 03:04:00.000,5007b3ac-b2b8-4cf7-bf7a-1c1f16c750fb,
,,0,11,2021-10-24 02:36:00.000,,,2021-10-24 02:37:00.000,2021-10-24 02:36:59.000,11,0.14039713,8.423828,0.4453125,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 02:36:59.000,525210fb-a499-0efa-c108-61b0b47ad219,
,,0,19,2021-10-24 02:56:00.000,,,2021-10-24 02:57:00.000,2021-10-24 02:56:59.000,19,0.24431966,14.65918,0.76519775,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 02:56:59.000,345e0309-1d6e-6c3a-0185-4e0e0a444d72,
16443,4,0,25,2021-10-24 02:43:00.000,,,2021-10-24 02:45:52.903,2021-10-24 02:45:52.903,25,1.1111112,18.27,1.02,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 02:44:00.000,9e3eec27-df9c-4326-a726-bcd39811a6fe,
,,0,77,2021-10-24 03:03:00.000,,,2021-10-24 03:04:00.000,2021-10-24 03:03:59.000,77,0.97957355,58.774414,3.1177368,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 03:03:59.000,b39abbb2-7bb7-3221-df41-ac24917e7761,
30849,4,0,45,2021-10-24 02:58:00.000,,,2021-10-24 03:00:26.790,2021-10-24 03:00:26.790,45,1.0833334,33.42,1.84,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 02:59:00.000,8d959837-68b4-427f-92e7-2dbe0f098f5a,
,,0,115,2021-10-24 03:11:00.000,,,2021-10-24 03:12:00.000,2021-10-24 03:11:59.000,115,1.5184896,91.109375,4.6036987,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 03:11:59.000,04bcfb81-9b01-be66-cf87-80d730074e20,
,,0,3,2021-10-24 02:52:00.000,,,2021-10-24 02:53:00.000,2021-10-24 02:52:59.000,3,0.03663737,2.1982422,0.12390137,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 02:52:59.000,33bbc3cd-1e88-45c6-5042-9b68bfb5f8bc,
51810,4,0,45,2021-10-24 03:10:00.000,,,2021-10-24 03:15:06.034,2021-10-24 03:15:06.034,82,1.0277778,53.25,4.17,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 03:11:00.000,df7c0770-0547-4095-827e-d8b60152a61b,
,,0,21,2021-10-24 02:58:00.000,,,2021-10-24 02:59:01.000,2021-10-24 02:58:59.000,21,0.27781576,16.668945,0.8347168,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 02:58:59.000,a9e51978-c663-641d-afcf-447780e31d9f,
41820,4,0,73,2021-10-24 03:16:00.000,,,2021-10-24 03:31:22.145,2021-10-24 03:16:12.294,71,1.2933697,54.090004,2.84,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 03:17:00.000,00f7c464-947f-4881-a032-c7be0a5751d8,
,,0,85,2021-10-24 03:05:00.000,,,2021-10-24 03:06:00.000,2021-10-24 03:05:59.000,85,1.1010253,66.06152,3.4259033,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 03:05:59.000,86867532-9e38-0c40-d67b-175dc53efd34,
