com.samsung.health.sleep_stage,6200039,6
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-07-14 21:05:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 21:05:42.000,2021-07-14 21:06:42.000,40001,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 21:06:42.000,0530e1fb-9a03-a2a4-1921-d264859e04b7,
2021-07-16 15:09:18.000,00000000-0000-0000-0000-00003f807bd5,,2021-07-16 15:09:18.000,2021-07-16 15:10:18.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-16 15:10:18.000,f72d0131-def5-7111-ef92-80bf3840243a,
2021-07-15 16:42:44.000,00000000-0000-0000-0000-0000138fc752,,2021-07-15 16:42:44.000,2021-07-15 17:12:44.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-15 17:12:44.000,9b30a8fd-ad08-48c8-9d0d-6d309d7d4f05,
2021-07-16 15:22:18.000,00000000-0000-0000-0000-00003f807bd5,,2021-07-16 15:22:18.000,2021-07-16 15:28:18.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-16 15:28:18.000,6dc6cf9b-7ae0-559c-a029-21959b0242fa,
2021-07-14 21:21:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 21:21:42.000,2021-07-14 21:23:42.000,40001,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 21:23:42.000,874731f0-445a-7ae6-dfc0-1c6174c125b4,
2021-07-14 21:43:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 21:43:42.000,2021-07-14 21:49:42.000,40003,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 21:49:42.000,468af5fd-a90d-0ec4-cc9e-88ed35c1eaf4,
2021-07-16 16:01:18.000,00000000-0000-0000-0000-00003f807bd5,,2021-07-16 16:01:18.000,2021-07-16 16:05:18.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-16 16:05:18.000,8fe1d195-c421-52b9-0e2d-a41341432cc6,
2021-07-14 22:25:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 22:25:42.000,2021-07-14 22:28:42.000,40001,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 22:28:42.000,9fe0624c-d484-689a-631f-75ce852b49eb,
2021-07-16 16:50:18.000,00000000-0000-0000-0000-00003f807bd5,,2021-07-16 16:50:18.000,2021-07-16 16:59:18.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-16 16:59:18.000,9b3740c8-679f-aeb4-5c5d-fac511d6dda2,
2021-07-16 17:10:18.000,00000000-0000-0000-0000-00003f807bd5,,2021-07-16 17:10:18.000,2021-07-16 17:47:18.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-16 17:47:18.000,753c0e51-e5f1-e612-74f5-c54201ec05a4,
